date,DE
2015-12-30 00:00:00 GMT,276.58
2015-12-30 01:00:00 GMT,276.38
2015-12-30 02:00:00 GMT,276.25
2015-12-30 03:00:00 GMT,276.13
2015-12-30 04:00:00 GMT,276.12
2015-12-30 05:00:00 GMT,276.02
2015-12-30 06:00:00 GMT,275.96
2015-12-30 07:00:00 GMT,275.88
2015-12-30 08:00:00 GMT,275.86
2015-12-30 09:00:00 GMT,276.23
2015-12-30 10:00:00 GMT,276.87
2015-12-30 11:00:00 GMT,277.39
2015-12-30 12:00:00 GMT,277.76
2015-12-30 13:00:00 GMT,277.93
2015-12-30 14:00:00 GMT,277.72
2015-12-30 15:00:00 GMT,277.16
2015-12-30 16:00:00 GMT,276.51
2015-12-30 17:00:00 GMT,276.03
2015-12-30 18:00:00 GMT,275.62
2015-12-30 19:00:00 GMT,275.18
2015-12-30 20:00:00 GMT,274.83
2015-12-30 21:00:00 GMT,274.51
2015-12-30 22:00:00 GMT,274.19
2015-12-30 23:00:00 GMT,273.9
2015-12-31 00:00:00 GMT,273.67
2015-12-31 01:00:00 GMT,273.5
2015-12-31 02:00:00 GMT,273.42
2015-12-31 03:00:00 GMT,273.4
2015-12-31 04:00:00 GMT,273.39
2015-12-31 05:00:00 GMT,273.53
2015-12-31 06:00:00 GMT,273.67
2015-12-31 07:00:00 GMT,273.79
2015-12-31 08:00:00 GMT,274.16
2015-12-31 09:00:00 GMT,274.74
2015-12-31 10:00:00 GMT,275.43
2015-12-31 11:00:00 GMT,276.05
2015-12-31 12:00:00 GMT,276.59
2015-12-31 13:00:00 GMT,276.96
2015-12-31 14:00:00 GMT,277.09
2015-12-31 15:00:00 GMT,276.92
2015-12-31 16:00:00 GMT,276.48
2015-12-31 17:00:00 GMT,276.19
2015-12-31 18:00:00 GMT,276.05
2015-12-31 19:00:00 GMT,275.94
2015-12-31 20:00:00 GMT,275.83
2015-12-31 21:00:00 GMT,275.69
2015-12-31 22:00:00 GMT,275.59
2015-12-31 23:00:00 GMT,275.48
2016-01-01 00:00:00 GMT,275.42
2016-01-01 01:00:00 GMT,275.37
2016-01-01 02:00:00 GMT,275.33
2016-01-01 03:00:00 GMT,275.3
2016-01-01 04:00:00 GMT,275.21
2016-01-01 05:00:00 GMT,275.14
2016-01-01 06:00:00 GMT,275.12
2016-01-01 07:00:00 GMT,275.04
2016-01-01 08:00:00 GMT,275.11
2016-01-01 09:00:00 GMT,275.45
2016-01-01 10:00:00 GMT,276.13
2016-01-01 11:00:00 GMT,276.7
2016-01-01 12:00:00 GMT,277.09
2016-01-01 13:00:00 GMT,277.32
2016-01-01 14:00:00 GMT,277.24
2016-01-01 15:00:00 GMT,276.88
2016-01-01 16:00:00 GMT,276.44
2016-01-01 17:00:00 GMT,276.19
2016-01-01 18:00:00 GMT,275.94
2016-01-01 19:00:00 GMT,275.8
2016-01-01 20:00:00 GMT,275.61
2016-01-01 21:00:00 GMT,275.42
2016-01-01 22:00:00 GMT,275.25
2016-01-01 23:00:00 GMT,275.15
2016-01-02 00:00:00 GMT,275.05
2016-01-02 01:00:00 GMT,274.91
2016-01-02 02:00:00 GMT,274.75
2016-01-02 03:00:00 GMT,274.55
2016-01-02 04:00:00 GMT,274.44
2016-01-02 05:00:00 GMT,274.31
2016-01-02 06:00:00 GMT,274.12
2016-01-02 07:00:00 GMT,273.91
2016-01-02 08:00:00 GMT,273.71
2016-01-02 09:00:00 GMT,273.72
2016-01-02 10:00:00 GMT,273.82
2016-01-02 11:00:00 GMT,273.86
2016-01-02 12:00:00 GMT,273.89
2016-01-02 13:00:00 GMT,273.8
2016-01-02 14:00:00 GMT,273.7
2016-01-02 15:00:00 GMT,273.47
2016-01-02 16:00:00 GMT,273.19
2016-01-02 17:00:00 GMT,272.93
2016-01-02 18:00:00 GMT,272.7
2016-01-02 19:00:00 GMT,272.46
2016-01-02 20:00:00 GMT,272.27
2016-01-02 21:00:00 GMT,272.1
2016-01-02 22:00:00 GMT,271.89
2016-01-02 23:00:00 GMT,271.78
2016-01-03 00:00:00 GMT,271.65
2016-01-03 01:00:00 GMT,271.5
2016-01-03 02:00:00 GMT,271.41
2016-01-03 03:00:00 GMT,271.33
2016-01-03 04:00:00 GMT,271.24
2016-01-03 05:00:00 GMT,271.15
2016-01-03 06:00:00 GMT,271.05
2016-01-03 07:00:00 GMT,270.96
2016-01-03 08:00:00 GMT,270.93
2016-01-03 09:00:00 GMT,271.04
